stock_code,stock_name,first_st_date,t_year,t_minus_2_year,st_type,st_reason,csrc_industry,ipo_date,years_listed_to_st,st_history,label
000903.SZ,ST云动,2025-07-10,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,通用设备制造业,1999-04-15,26.236824093086927,ST:20250710,1
002581.SZ,*ST未名,2025-07-08,2025,2023,ST,因重大变故导致经营活动三个月内不能恢复正常,医药制造业,2011-05-20,14.13552361396304,ST:20250708;*ST:20260430,1
300462.SZ,ST华铭,2025-07-08,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,2015-05-27,10.116358658453114,ST:20250708,1
300225.SZ,*ST金泰,2025-07-03,2025,2023,*ST,"最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告",化学原料和化学制品制造业,2011-05-31,14.091718001368925,*ST:20250703,1
300311.SZ,ST任子行,2025-06-24,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,软件和信息技术服务业,2012-04-25,13.163586584531142,ST:20250624,1
603789.SH,*ST星农,2025-05-06,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,专用设备制造业,2015-04-27,10.026009582477755,*ST:20250506,1
688511.SH,天微电子,2025-05-06,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元,计算机、通信和其他电子设备制造业,2021-07-30,3.7672826830937716,*ST:20250506;摘帽:20260421,1
603843.SH,*ST正平,2025-05-06,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告",土木工程建筑业,2016-09-05,8.6652977412731,*ST:20250506,1
003004.SZ,*ST声迅,2025-05-06,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,软件和信息技术服务业,2020-11-26,4.440793976728268,*ST:20250506,1
603721.SH,*ST天择,2025-05-06,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,广播、电视、电影和影视录音制作业,2017-08-11,7.734428473648186,*ST:20250506,1
603398.SH,*ST沐邦,2025-05-06,2025,2023,*ST,"最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元",文教、工美、体育和娱乐用品制造业,2015-12-09,9.4072553045859,*ST:20250506,1
300472.SZ,*ST新元,2025-05-06,2025,2023,*ST,"主要银行帐号被冻结,公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告",专用设备制造业,2015-06-11,9.902806297056811,*ST:20250506,1
300326.SZ,ST凯利,2025-05-06,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,专用设备制造业,2012-06-13,12.895277207392198,ST:20250506,1
300211.SZ,*ST亿通,2025-05-06,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元,计算机、通信和其他电子设备制造业,2011-05-05,14.004106776180699,*ST:20250506,1
600107.SH,*ST尔雅,2025-05-06,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,纺织服装、服饰业,1997-11-06,27.496235455167692,ST:20250506;*ST:20260506,1
603838.SH,*ST四通,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,非金属矿物制品业,2015-07-01,9.831622176591376,*ST:20250430,1
002868.SZ,*ST绿康,2025-04-30,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度经审计的期末净资产为负值或者被追溯重述后为负值",医药制造业,2017-05-03,7.991786447638604,*ST:20250430,1
002305.SZ,*ST南置,2025-04-30,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度经审计的期末净资产为负值或者被追溯重述后为负值",房地产业,2009-11-06,15.4798083504449,*ST:20250430,1
603813.SH,*ST原尚,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,道路运输业,2017-09-18,7.613963039014374,*ST:20250430,1
603580.SH,*ST艾艾,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,橡胶和塑料制品业,2017-05-25,7.931553730321697,*ST:20250430,1
002620.SZ,*ST瑞和,2025-04-30,2025,2023,ST,"主要银行帐号被冻结,公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；",建筑装饰和其他建筑业,2011-09-29,13.585215605749486,ST:20250430;*ST:20260430,1
300477.SZ,ST合纵,2025-04-30,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,电气机械和器材制造业,2015-06-10,9.88911704312115,ST:20250430,1
300716.SZ,*ST泉为,2025-04-30,2025,2023,ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告",橡胶和塑料制品业,2017-11-09,7.471594798083505,ST:20250430;*ST:20260506,1
600525.SH,ST长园,2025-04-30,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,计算机、通信和其他电子设备制造业,2002-12-02,22.409308692676248,ST:20250430,1
000929.SZ,*ST兰黄,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,酒、饮料和精制茶制造业,1999-06-23,25.853524982888434,*ST:20250430,1
002630.SZ,*ST华西,2025-04-30,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,通用设备制造业,2011-11-11,13.467488021902806,ST:20250430;*ST:20260430,1
605199.SH,ST葫芦娃,2025-04-30,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,医药制造业,2020-07-10,4.804928131416838,ST:20250430,1
300152.SZ,*ST动力,2025-04-30,2025,2023,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,生态保护和环境治理业,2010-12-29,14.335386721423683,ST:20250430;*ST:20260430,1
300093.SZ,*ST金刚,2025-04-30,2025,2023,*ST,"最近一个会计年度经审计的期末净资产为负值,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元",电气机械和器材制造业,2010-07-08,14.811772758384668,*ST:20250430,1
002713.SZ,*ST东易,2025-04-30,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度经审计的期末净资产为负值或者被追溯重述后为负值",建筑装饰和其他建筑业,2014-02-19,11.19233401779603,*ST:20250430,1
300899.SZ,*ST凯鑫,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元,生态保护和环境治理业,2020-10-16,4.5366187542778915,*ST:20250430,1
300198.SZ,*ST纳川,2025-04-30,2025,2023,ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告",橡胶和塑料制品业,2011-04-07,14.064339493497604,ST:20250430;*ST:20260429,1
002717.SZ,*ST岭南,2025-04-30,2025,2023,ST,"主要银行帐号被冻结,公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告",生态保护和环境治理业,2014-02-19,11.19233401779603,ST:20250430;*ST:20260430,1
301288.SZ,*ST清研,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元,专用设备制造业,2022-04-22,3.02258726899384,*ST:20250430,1
002693.SZ,*ST双成,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,医药制造业,2012-08-08,12.725530458590006,*ST:20250430,1
000668.SZ,*ST荣控,2025-04-30,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,房地产业,1996-12-10,28.386036960985628,*ST:20250430,1
603268.SH,松发股份,2025-04-29,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,非金属矿物制品业,2015-03-19,10.113620807665983,*ST:20250429;摘帽:20260420,1
002253.SZ,*ST智胜,2025-04-29,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,软件和信息技术服务业,2008-06-23,16.84873374401095,*ST:20250429,1
002214.SZ,*ST大立,2025-04-29,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,计算机、通信和其他电子设备制造业,2008-02-18,17.193702943189596,*ST:20250429,1
605081.SH,*ST太和,2025-04-29,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,生态保护和环境治理业,2021-02-09,4.216290212183436,*ST:20250429,1
603261.SH,*ST立航,2025-04-29,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,铁路、船舶、航空航天和其他运输设备制造业,2022-03-15,3.1238877481177276,*ST:20250429,1
002848.SZ,*ST高斯,2025-04-28,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元",计算机、通信和其他电子设备制造业,2017-02-13,8.202600958247775,*ST:20250428,1
002789.SZ,*ST建艺,2025-04-28,2025,2023,*ST,"公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,最近一个会计年度经审计的期末净资产为负值或者被追溯重述后为负值",建筑装饰和其他建筑业,2016-03-11,9.130732375085557,*ST:20250428,1
002898.SZ,*ST赛隆,2025-04-28,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,医药制造业,2017-09-12,7.624914442162902,*ST:20250428,1
300561.SZ,*ST汇科,2025-04-24,2025,2023,*ST,"最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于1亿元",软件和信息技术服务业,2016-11-17,8.432580424366872,*ST:20250424,1
002762.SZ,*ST金比,2025-04-24,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,纺织服装、服饰业,2015-06-10,9.872689938398358,*ST:20250424,1
003032.SZ,*ST传智,2025-04-23,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,教育,2021-01-12,4.276522929500342,*ST:20250423,1
603021.SH,*ST华鹏,2025-04-23,2025,2023,ST,公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性；,非金属矿物制品业,2015-04-23,10.001368925393566,ST:20250423;*ST:20260506,1
000608.SZ,*ST阳光,2025-04-22,2025,2023,*ST,近一个会计年度经审计的利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元，或追溯重述后最近一个会计年度利润总额、净利润或者扣除非经常性损益后的净利润孰低者为负值且营业收入低于3亿元,房地产业,1996-09-19,28.588637919233403,*ST:20250422,1
300147.SZ,*ST香雪,2025-03-25,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,医药制造业,2010-12-15,14.275154004106776,ST:20250325;*ST:20260430,1
300343.SZ,ST联创,2025-03-25,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,化学原料和化学制品制造业,2012-08-01,12.646132785763175,ST:20250325,1
300175.SZ,ST朗源,2025-03-25,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,农副食品加工业,2011-02-15,14.105407255304586,ST:20250325,1
000793.SZ,*ST华闻,2025-03-18,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,新闻和出版业,1997-07-29,27.63586584531143,ST:20250318;*ST:20260302,1
300052.SZ,中青宝,2025-03-18,2025,2023,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,互联网和相关服务,2010-02-11,15.096509240246407,ST:20250318;摘帽:20260416,1
000488.SZ,ST晨鸣,2025-02-21,2025,2023,ST,因重大变故导致经营活动三个月内不能恢复正常,造纸和纸制品业,2000-11-20,24.254620123203285,ST:20250221,1
300097.SZ,智云股份,2024-12-12,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,2010-07-28,14.376454483230663,ST:20241212;摘帽:20260331,1
300165.SZ,天瑞仪器,2024-12-10,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,仪器仪表制造业,2011-01-25,13.875427789185489,ST:20241210;摘帽:20260330,1
002388.SZ,新亚制程,2024-11-13,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,计算机、通信和其他电子设备制造业,2010-04-13,14.587268993839835,ST:20241113;摘帽:20260113,1
300137.SZ,先河环保,2024-11-12,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,仪器仪表制造业,2010-11-05,14.020533880903491,ST:20241112;摘帽:20251208,1
002602.SZ,世纪华通,2024-11-08,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,软件和信息技术服务业,2011-07-28,13.284052019164955,ST:20241108;摘帽:20251112,1
300419.SZ,ST浩丰,2024-10-29,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,软件和信息技术服务业,2015-01-22,9.768651608487337,ST:20241029,1
002425.SZ,凯撒文化,2024-09-19,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,互联网和相关服务,2010-06-08,14.283367556468173,ST:20240919;摘帽:20251211,1
300376.SZ,易事特,2024-07-09,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,电气机械和器材制造业,2014-01-27,10.447638603696099,ST:20240709;摘帽:20260114,1
600287.SH,苏豪时尚,2024-07-09,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,批发业,2000-09-01,23.852156057494867,ST:20240709;摘帽:20250716,1
300600.SZ,国瑞科技,2024-05-21,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,铁路、船舶、航空航天和其他运输设备制造业,2017-01-25,7.318275154004107,ST:20240521;摘帽:20250603,1
002092.SZ,中泰化学,2024-05-21,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,化学原料和化学制品制造业,2006-12-08,17.451060917180012,ST:20240521;摘帽:20250520,1
002748.SZ,世龙实业,2024-05-17,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,化学原料和化学制品制造业,2015-03-19,9.163586584531142,ST:20240517;摘帽:20250522,1
300368.SZ,汇金股份,2024-05-14,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,专用设备制造业,2014-01-23,10.30527036276523,ST:20240514;摘帽:20250526,1
000070.SZ,特发信息,2024-05-14,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,电气机械和器材制造业,2000-05-11,24.008213552361397,ST:20240514;摘帽:20250709,1
300300.SZ,海峡创新,2024-05-14,2024,2022,ST,根据中国证监会行政处罚事先告知书载明的事实，公司披露的年度报告财务指标存在虚假记载,软件和信息技术服务业,2012-03-19,12.153319644079398,ST:20240514;摘帽:20250814,1
603959.SH,ST百利,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,土木工程建筑业,2016-05-17,7.969883641341547,ST:20240506;摘帽:20250715;ST:20260428,1
002197.SZ,证通电子,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,软件和信息技术服务业,2007-12-18,16.383299110198493,ST:20240506;摘帽:20251224,1
002424.SZ,ST百灵,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,医药制造业,2010-06-03,13.924709103353868,ST:20240506;摘帽:20250630;ST:20251223,1
603377.SH,ST东时,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,教育,2016-02-05,8.24914442162902,ST:20240506,1
603828.SH,*ST利达,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,建筑装饰和其他建筑业,2015-02-26,9.190965092402465,ST:20240506;*ST:20260429,1
300020.SZ,ST银江,2024-05-06,2024,2022,*ST,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告,软件和信息技术服务业,2009-10-30,14.516084873374401,*ST:20240506;摘*:20250527,1
603869.SH,ST智知,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,软件和信息技术服务业,2015-03-26,9.114305270362765,ST:20240506,1
002528.SZ,*ST英飞,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,计算机、通信和其他电子设备制造业,2010-12-24,13.366187542778919,ST:20240506;*ST:20260430,1
603879.SH,永悦科技,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,化学原料和化学制品制造业,2017-06-14,6.893908281998631,ST:20240506;摘帽:20250506,1
603608.SH,天创时尚,2024-05-06,2024,2022,*ST,"最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,最近一个会计年度的财务会计报告被出具无法表示意见或者否定意见的审计报告",皮革、毛皮、羽毛及其制品和制鞋业,2016-02-18,8.213552361396303,*ST:20240506;摘帽:20250506,1
600360.SH,*ST华微,2024-05-06,2024,2022,ST,最近一个会计年度内部控制被出具无法表示意见或否定意见审计报告或鉴证报告，或未按照规定披露内部控制审计报告,计算机、通信和其他电子设备制造业,2001-03-16,23.140314852840522,ST:20240506;*ST:20250506,1
